date,hour,min_value,avg_value,max_value
2022-01-03,07:36:00,56,56.0,56
2022-01-03,09:11:00,76,76.0,76
2022-01-03,15:47:00,75,75.0,75
2022-01-03,17:54:00,76,76.0,76
2022-01-03,18:35:00,83,83.0,83
2022-01-03,21:31:00,88,88.0,88
2022-01-03,23:09:00,71,71.0,71
2022-01-03,02:26:00,71,71.0,71
2022-01-03,10:07:00,79,79.0,79
2022-01-03,12:30:00,76,76.0,76
2022-01-03,13:28:00,85,85.0,85
2022-01-03,14:34:00,90,90.0,90
2022-01-03,08:34:00,92,92.0,92
2022-01-03,10:57:00,79,79.0,79
2022-01-03,15:10:00,80,80.0,80
2022-01-03,17:29:00,89,89.0,89
2022-01-03,18:16:00,82,82.0,82
2022-01-03,22:45:00,87,87.0,87
2022-01-03,00:06:00,88,88.0,88
2022-01-03,00:20:00,84,84.0,84
2022-01-03,02:58:00,66,66.0,66
2022-01-03,08:00:00,71,71.0,71
2022-01-03,10:12:00,75,75.0,75
2022-01-03,11:48:00,74,74.0,74
2022-01-03,12:31:00,75,75.0,75
2022-01-03,00:50:00,76,76.0,76
2022-01-03,01:39:00,82,82.0,82
2022-01-03,04:06:00,63,63.0,63
2022-01-03,07:29:00,61,61.0,61
2022-01-03,10:41:00,67,67.0,67
2022-01-03,17:22:00,90,90.0,90
2022-01-03,01:21:00,87,87.0,87
2022-01-03,11:25:00,78,78.0,78
2022-01-03,02:44:00,74,74.0,74
2022-01-03,04:34:00,63,63.0,63
2022-01-03,06:35:00,60,60.0,60
2022-01-03,09:23:00,91,91.0,91
2022-01-03,16:11:00,79,79.0,79
2022-01-03,22:13:00,85,85.0,85
2022-01-03,00:02:00,88,88.0,88
2022-01-03,01:54:00,79,79.0,79
2022-01-03,03:53:00,67,67.0,67
2022-01-03,04:22:00,61,61.0,61
2022-01-03,07:43:00,56,56.0,56
2022-01-03,09:09:00,76,76.0,76
2022-01-03,09:47:00,84,84.0,84
2022-01-03,11:15:00,85,85.0,85
2022-01-03,11:51:00,79,79.0,79
2022-01-03,12:08:00,79,79.0,79
2022-01-03,15:28:00,81,81.0,81
2022-01-03,08:28:00,75,75.0,75
2022-01-03,09:04:00,71,71.0,71
2022-01-03,11:03:00,80,80.0,80
2022-01-03,11:40:00,74,74.0,74
2022-01-03,11:46:00,82,82.0,82
2022-01-03,14:40:00,82,82.0,82
2022-01-03,16:05:00,73,73.0,73
2022-01-03,22:15:00,89,89.0,89
2022-01-03,23:35:00,78,78.0,78
2022-01-03,00:59:00,80,80.0,80
2022-01-03,07:44:00,57,57.0,57
2022-01-03,09:07:00,74,74.0,74
2022-01-03,09:45:00,79,79.0,79
2022-01-03,13:44:00,89,89.0,89
2022-01-03,02:04:00,73,73.0,73
2022-01-03,02:07:00,71,71.0,71
2022-01-03,02:46:00,72,72.0,72
2022-01-03,09:06:00,71,71.0,71
2022-01-03,10:38:00,75,75.0,75
2022-01-03,12:53:00,78,78.0,78
2022-01-03,15:30:00,75,75.0,75
2022-01-03,15:58:00,75,75.0,75
2022-01-03,18:21:00,82,82.0,82
2022-01-03,19:40:00,81,81.0,81
2022-01-03,20:19:00,74,74.0,74
2022-01-03,02:23:00,72,72.0,72
2022-01-03,04:36:00,64,64.0,64
2022-01-03,16:33:00,74,74.0,74
2022-01-03,02:02:00,72,72.0,72
2022-01-03,02:11:00,74,74.0,74
2022-01-03,02:15:00,88,88.0,88
2022-01-03,12:49:00,80,80.0,80
2022-01-03,13:29:00,83,83.0,83
2022-01-03,13:56:00,77,77.0,77
2022-01-03,14:07:00,79,79.0,79
2022-01-03,16:27:00,75,75.0,75
2022-01-03,18:49:00,78,78.0,78
2022-01-03,20:05:00,70,70.0,70
2022-01-03,00:05:00,87,87.0,87
2022-01-03,04:08:00,63,63.0,63
2022-01-03,09:22:00,84,84.0,84
2022-01-03,11:09:00,70,70.0,70
2022-01-03,14:38:00,83,83.0,83
2022-01-03,15:50:00,76,76.0,76
2022-01-03,19:32:00,76,76.0,76
2022-01-03,21:05:00,81,81.0,81
2022-01-03,03:19:00,65,65.0,65
2022-01-03,08:08:00,67,67.0,67
2022-01-03,11:37:00,76,76.0,76
2022-01-03,12:38:00,80,80.0,80
2022-01-03,19:03:00,79,79.0,79
2022-01-03,22:55:00,76,76.0,76
2022-01-03,01:17:00,77,77.0,77
2022-01-03,13:17:00,79,79.0,79
2022-01-03,15:12:00,79,79.0,79
2022-01-03,16:16:00,75,75.0,75
2022-01-03,17:42:00,79,79.0,79
2022-01-03,20:15:00,73,73.0,73
2022-01-03,03:48:00,63,63.0,63
2022-01-03,19:02:00,82,82.0,82
2022-01-03,20:28:00,83,83.0,83
2022-01-03,08:05:00,58,58.0,58
2022-01-03,20:08:00,74,74.0,74
2022-01-03,03:08:00,66,66.0,66
2022-01-03,07:35:00,56,56.0,56
2022-01-03,07:49:00,58,58.0,58
2022-01-03,07:56:00,60,60.0,60
2022-01-03,10:25:00,74,74.0,74
2022-01-03,11:27:00,82,82.0,82
2022-01-03,11:41:00,78,78.0,78
2022-01-03,15:05:00,80,80.0,80
2022-01-03,15:06:00,85,85.0,85
2022-01-03,16:29:00,80,80.0,80
2022-01-03,18:43:00,80,80.0,80
2022-01-03,21:06:00,82,82.0,82
2022-01-03,03:30:00,64,64.0,64
2022-01-03,07:27:00,62,62.0,62
2022-01-03,10:32:00,70,70.0,70
2022-01-03,11:21:00,77,77.0,77
2022-01-03,17:05:00,89,89.0,89
2022-01-03,17:07:00,90,90.0,90
2022-01-03,02:50:00,67,67.0,67
2022-01-03,07:22:00,57,57.0,57
2022-01-03,08:24:00,56,56.0,56
2022-01-03,09:40:00,82,82.0,82
2022-01-03,10:17:00,68,68.0,68
2022-01-03,16:49:00,83,83.0,83
2022-01-03,18:14:00,81,81.0,81
2022-01-03,22:25:00,80,80.0,80
