0,2022-01-0406:44:00,06:44:00,58,2022-01-04T00:00:00.000+01:00,06
0,2022-01-0423:15:00,23:15:00,89,2022-01-04T00:00:00.000+01:00,23
0,2022-01-0418:01:00,18:01:00,82,2022-01-04T00:00:00.000+01:00,18
0,2022-01-0416:16:00,16:16:00,82,2022-01-04T00:00:00.000+01:00,16
0,2022-01-0421:44:00,21:44:00,116,2022-01-04T00:00:00.000+01:00,21
0,2022-01-0412:25:00,12:25:00,75,2022-01-04T00:00:00.000+01:00,12
0,2022-01-0420:05:00,20:05:00,81,2022-01-04T00:00:00.000+01:00,20
0,2022-01-0417:47:00,17:47:00,79,2022-01-04T00:00:00.000+01:00,17
Martial Arts,2022-01-0521:56:00,21:56:00,92,2022-01-05T00:00:00.000+01:00,21
0,2022-01-0423:01:00,23:01:00,76,2022-01-04T00:00:00.000+01:00,23
0,2022-01-0404:20:00,04:20:00,66,2022-01-04T00:00:00.000+01:00,04
0,2022-01-0405:13:00,05:13:00,60,2022-01-04T00:00:00.000+01:00,05
0,2022-01-0420:55:00,20:55:00,88,2022-01-04T00:00:00.000+01:00,20
0,2022-01-0400:25:00,00:25:00,80,2022-01-04T00:00:00.000+01:00,00
0,2022-01-0407:51:00,07:51:00,62,2022-01-04T00:00:00.000+01:00,07
0,2022-01-0412:17:00,12:17:00,89,2022-01-04T00:00:00.000+01:00,12
0,2022-01-0403:30:00,03:30:00,65,2022-01-04T00:00:00.000+01:00,03
0,2022-01-0401:10:00,01:10:00,74,2022-01-04T00:00:00.000+01:00,01
0,2022-01-0401:54:00,01:54:00,65,2022-01-04T00:00:00.000+01:00,01
0,2022-01-0408:17:00,08:17:00,72,2022-01-04T00:00:00.000+01:00,08
0,2022-01-0419:05:00,19:05:00,79,2022-01-04T00:00:00.000+01:00,19
0,2022-01-0423:43:00,23:43:00,74,2022-01-04T00:00:00.000+01:00,23
0,2022-01-0407:25:00,07:25:00,57,2022-01-04T00:00:00.000+01:00,07
Martial Arts,2022-01-0522:30:00,22:30:00,111,2022-01-05T00:00:00.000+01:00,22
0,2022-01-0414:52:00,14:52:00,82,2022-01-04T00:00:00.000+01:00,14
0,2022-01-0405:35:00,05:35:00,60,2022-01-04T00:00:00.000+01:00,05
0,2022-01-0409:44:00,09:44:00,86,2022-01-04T00:00:00.000+01:00,09
0,2022-01-0418:20:00,18:20:00,79,2022-01-04T00:00:00.000+01:00,18
0,2022-01-0423:45:00,23:45:00,80,2022-01-04T00:00:00.000+01:00,23
0,2022-01-0406:19:00,06:19:00,58,2022-01-04T00:00:00.000+01:00,06
0,2022-01-0411:27:00,11:27:00,90,2022-01-04T00:00:00.000+01:00,11
0,2022-01-0409:49:00,09:49:00,79,2022-01-04T00:00:00.000+01:00,09
0,2022-01-0400:13:00,00:13:00,79,2022-01-04T00:00:00.000+01:00,00
0,2022-01-0411:20:00,11:20:00,81,2022-01-04T00:00:00.000+01:00,11
0,2022-01-0403:29:00,03:29:00,64,2022-01-04T00:00:00.000+01:00,03
0,2022-01-0417:36:00,17:36:00,87,2022-01-04T00:00:00.000+01:00,17
0,2022-01-0410:38:00,10:38:00,74,2022-01-04T00:00:00.000+01:00,10
0,2022-01-0413:58:00,13:58:00,78,2022-01-04T00:00:00.000+01:00,13
0,2022-01-0414:27:00,14:27:00,83,2022-01-04T00:00:00.000+01:00,14
0,2022-01-0415:19:00,15:19:00,80,2022-01-04T00:00:00.000+01:00,15
0,2022-01-0423:02:00,23:02:00,75,2022-01-04T00:00:00.000+01:00,23
Martial Arts,2022-01-0521:25:00,21:25:00,132,2022-01-05T00:00:00.000+01:00,21
0,2022-01-0420:51:00,20:51:00,83,2022-01-04T00:00:00.000+01:00,20
0,2022-01-0419:18:00,19:18:00,83,2022-01-04T00:00:00.000+01:00,19
0,2022-01-0419:50:00,19:50:00,74,2022-01-04T00:00:00.000+01:00,19
0,2022-01-0406:40:00,06:40:00,60,2022-01-04T00:00:00.000+01:00,06
0,2022-01-0412:58:00,12:58:00,72,2022-01-04T00:00:00.000+01:00,12
0,2022-01-0422:17:00,22:17:00,92,2022-01-04T00:00:00.000+01:00,22
0,2022-01-0401:48:00,01:48:00,66,2022-01-04T00:00:00.000+01:00,01
Martial Arts,2022-01-0521:13:00,21:13:00,109,2022-01-05T00:00:00.000+01:00,21
Martial Arts,2022-01-0522:18:00,22:18:00,101,2022-01-05T00:00:00.000+01:00,22
0,2022-01-0404:58:00,04:58:00,58,2022-01-04T00:00:00.000+01:00,04
0,2022-01-0410:40:00,10:40:00,73,2022-01-04T00:00:00.000+01:00,10
0,2022-01-0408:46:00,08:46:00,84,2022-01-04T00:00:00.000+01:00,08
0,2022-01-0422:36:00,22:36:00,96,2022-01-04T00:00:00.000+01:00,22
Walk,2022-01-0613:07:00,13:07:00,101,2022-01-06T00:00:00.000+01:00,13
0,2022-01-0409:06:00,09:06:00,80,2022-01-04T00:00:00.000+01:00,09
0,2022-01-0418:38:00,18:38:00,80,2022-01-04T00:00:00.000+01:00,18
0,2022-01-0422:27:00,22:27:00,82,2022-01-04T00:00:00.000+01:00,22
0,2022-01-0414:10:00,14:10:00,92,2022-01-04T00:00:00.000+01:00,14
0,2022-01-0416:02:00,16:02:00,82,2022-01-04T00:00:00.000+01:00,16
Walk,2022-01-0613:04:00,13:04:00,97,2022-01-06T00:00:00.000+01:00,13
0,2022-01-0413:06:00,13:06:00,87,2022-01-04T00:00:00.000+01:00,13
0,2022-01-0423:53:00,23:53:00,73,2022-01-04T00:00:00.000+01:00,23
0,2022-01-0422:23:00,22:23:00,86,2022-01-04T00:00:00.000+01:00,22
0,2022-01-0408:04:00,08:04:00,70,2022-01-04T00:00:00.000+01:00,08
0,2022-01-0417:33:00,17:33:00,84,2022-01-04T00:00:00.000+01:00,17
0,2022-01-0423:03:00,23:03:00,71,2022-01-04T00:00:00.000+01:00,23
0,2022-01-0408:38:00,08:38:00,81,2022-01-04T00:00:00.000+01:00,08
Martial Arts,2022-01-0521:32:00,21:32:00,129,2022-01-05T00:00:00.000+01:00,21
0,2022-01-0402:24:00,02:24:00,58,2022-01-04T00:00:00.000+01:00,02
0,2022-01-0412:18:00,12:18:00,80,2022-01-04T00:00:00.000+01:00,12
0,2022-01-0420:11:00,20:11:00,69,2022-01-04T00:00:00.000+01:00,20
0,2022-01-0423:46:00,23:46:00,82,2022-01-04T00:00:00.000+01:00,23
0,2022-01-0400:19:00,00:19:00,80,2022-01-04T00:00:00.000+01:00,00
0,2022-01-0413:54:00,13:54:00,76,2022-01-04T00:00:00.000+01:00,13
0,2022-01-0414:13:00,14:13:00,88,2022-01-04T00:00:00.000+01:00,14
0,2022-01-0400:23:00,00:23:00,80,2022-01-04T00:00:00.000+01:00,00
0,2022-01-0415:03:00,15:03:00,79,2022-01-04T00:00:00.000+01:00,15
0,2022-01-0402:58:00,02:58:00,63,2022-01-04T00:00:00.000+01:00,02
0,2022-01-0408:20:00,08:20:00,74,2022-01-04T00:00:00.000+01:00,08
0,2022-01-0417:27:00,17:27:00,80,2022-01-04T00:00:00.000+01:00,17
0,2022-01-0418:21:00,18:21:00,77,2022-01-04T00:00:00.000+01:00,18
Martial Arts,2022-01-0521:20:00,21:20:00,133,2022-01-05T00:00:00.000+01:00,21
Martial Arts,2022-01-0521:50:00,21:50:00,102,2022-01-05T00:00:00.000+01:00,21
0,2022-01-0406:08:00,06:08:00,62,2022-01-04T00:00:00.000+01:00,06
0,2022-01-0415:26:00,15:26:00,76,2022-01-04T00:00:00.000+01:00,15
0,2022-01-0401:18:00,01:18:00,73,2022-01-04T00:00:00.000+01:00,01
0,2022-01-0402:51:00,02:51:00,63,2022-01-04T00:00:00.000+01:00,02
0,2022-01-0419:03:00,19:03:00,79,2022-01-04T00:00:00.000+01:00,19
